Gmt time,Open,High,Low,Close,Volume
06.01.2020 20:30:00.000,131.612,131.612,131.594,131.611,353.26
06.01.2020 20:35:00.000,131.610,131.610,131.587,131.608,174.37
06.01.2020 20:40:00.000,131.607,131.619,131.600,131.617,219.68
06.01.2020 20:45:00.000,131.614,131.617,131.597,131.608,354.09
06.01.2020 20:50:00.000,131.608,131.669,131.606,131.646,24.805.999.999.999.900
06.01.2020 20:55:00.000,131.646,131.672,131.639,131.661,345.92
06.01.2020 21:00:00.000,131.659,131.661,131.647,131.657,5.864.000.000.000.000
06.01.2020 21:05:00.000,131.656,131.658,131.637,131.648,116.22
06.01.2020 21:10:00.000,131.648,131.650,131.642,131.647,63.98
06.01.2020 21:15:00.000,131.646,131.648,131.638,131.647,8.588.999.999.999.990
06.01.2020 21:20:00.000,131.646,131.659,131.640,131.640,146.27
06.01.2020 21:25:00.000,131.640,131.668,131.640,131.660,193.35
06.01.2020 21:30:00.000,131.661,131.663,131.651,131.657,171.86
06.01.2020 21:35:00.000,131.654,131.670,131.651,131.662,92.64
06.01.2020 21:40:00.000,131.662,131.666,131.651,131.660,12.467.999.999.999.900
06.01.2020 21:45:00.000,131.660,131.684,131.660,131.670,13.751.999.999.999.900
06.01.2020 21:50:00.000,131.669,131.679,131.660,131.672,280.63
06.01.2020 21:55:00.000,131.672,131.685,131.667,131.685,172.36
06.01.2020 22:00:00.000,131.685,131.705,131.643,131.661,7.892.999.999.999.990
06.01.2020 22:05:00.000,131.657,131.735,131.645,131.711,60.300.000.000.000.000
06.01.2020 22:10:00.000,131.711,131.713,131.662,131.696,85.5
06.01.2020 22:15:00.000,131.696,131.755,131.691,131.743,108.24
06.01.2020 22:20:00.000,131.744,131.752,131.740,131.748,79.11
06.01.2020 22:25:00.000,131.749,131.764,131.749,131.749,84.14
06.01.2020 22:30:00.000,131.750,131.751,131.745,131.746,51.300.000.000.000.000
06.01.2020 22:35:00.000,131.746,131.756,131.745,131.751,49.99
06.01.2020 22:40:00.000,131.751,131.785,131.726,131.754,196.95
06.01.2020 22:45:00.000,131.750,131.754,131.728,131.743,11.200.000.000.000.000
06.01.2020 22:50:00.000,131.743,131.748,131.740,131.746,8.588.000.000.000.000
06.01.2020 22:55:00.000,131.743,131.750,131.731,131.749,48.87
06.01.2020 23:00:00.000,131.749,131.752,131.722,131.729,273.55
06.01.2020 23:05:00.000,131.725,131.729,131.718,131.722,9.989.999.999.999.990
06.01.2020 23:10:00.000,131.728,131.733,131.719,131.728,96.22
06.01.2020 23:15:00.000,131.728,131.742,131.728,131.740,170.09
06.01.2020 23:20:00.000,131.740,131.740,131.715,131.716,67.64
06.01.2020 23:25:00.000,131.714,131.719,131.699,131.700,134.6
06.01.2020 23:30:00.000,131.700,131.709,131.684,131.705,270.11
06.01.2020 23:35:00.000,131.707,131.713,131.680,131.684,406.56
06.01.2020 23:40:00.000,131.684,131.704,131.679,131.696,5.898.800.000.000.000
06.01.2020 23:45:00.000,131.697,131.721,131.693,131.700,1192.76
06.01.2020 23:50:00.000,131.700,131.713,131.698,131.706,9.847.900.000.000.000
06.01.2020 23:55:00.000,131.704,131.711,131.700,131.711,722.33
07.01.2020 00:00:00.000,131.708,131.721,131.703,131.715,603.13
07.01.2020 00:05:00.000,131.716,131.724,131.695,131.695,337.76
07.01.2020 00:10:00.000,131.695,131.717,131.692,131.710,460.56
